Genus,kingdomGBIF,phylumGBIF,classGBIF,orderGBIF,familyGBIF
Monocephalus,Animalia,Arthropoda,Arachnida,Aranaea,Linyphiidae
Neobisium,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Neobisiidae
Oedothorax,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Oligolophus,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae
Pardosa,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae
Pelecopsis,Animalia,Arthropoda,NA,Araneae,Linyphiidae
Pocadicnemis,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Porrhomma,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Robertus,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae
Savignia,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Silometopus,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Tapinocyba,NA,NA,NA,NA,NA
Tapinopa,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Tiso,Animalia,Arthropoda,Arachnida,Aranaea,Linyphiidae
Trichopterna,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Trochosa,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae
Walckenaeria,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Cacatua,Animalia,Chordata,Aves,Psittaciformes,Psittacidae
Geopelia,Animalia,Chordata,Columbiformes,Aves,Columbidae
Platycercus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae
Centropus,Animalia,Chordata,Aves,Cuculiformes,Cuculidae
Coracina,Animalia,Chordata,Aves,Passeriformes,Campephagidae
Geophaps,Animalia,Chordata,Aves,Columbiformes,Columbidae
Malurus,Animalia,Chordata,NA,Passeriformes,Maluridae
Pachycephala,NA,NA,NA,NA,NA
Philemon,Animalia,Chordata,Aves,Passeriformes,Meliphagidae
Trichoglossus,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae
Cracticus,Animalia,Chordata,Aves,Passeriformes,Artamidae
Dacelo,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae
Entomyzon,Animalia,Chordata,Aves,Passeriformes,Meliphagidae
Grallina,Animalia,Chordata,Aves,Passeriformes,Monarchidae
Gymnorhina,Animalia,Chordata,Aves,Passeriformes,Cracticidae
Manorina,Animalia,Chordata,Aves,Passeriformes,Meliphagidae
Melithreptus,Animalia,Chordata,Aves,Passeriformes,Meliphagidae
Microeca,Animalia,Chordata,Aves,Passeriformes,Petroicidae
Pardalotus,NA,NA,NA,Passeriformes,Pardalotidae
Rhipidura,NA,NA,NA,Passeriformes,Rhipiduridae
Smicrornis,Animalia,Chordata,Aves,Passeriformes,Acanthizidae
Isoodon,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae
Macropus,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae
Carlia,Animalia,Chordata,Reptilia,Squamata,Scincidae
Diporiphora,Animalia,Chordata,Lepidosauria,Squamata,Agamidae
Zenaida,Animalia,Chordata,Aves,NA,NA
Aimophila,Animalia,Chordata,Aves,Passeriformes,Passerellidae
Amphispiza,Animalia,Chordata,Aves,Passeriformes,Passerellidae
Callipepla,Animalia,Chordata,Aves,Galliformes,Odontophoridae
Chondestes,Animalia,Chordata,Aves,Passeriformes,Passerellidae
Guiraca,Animalia,Chordata,Aves,Passeriformes,Cardinalidae
Mimus,Animalia,Chordata,Aves,Passeriformes,Mimidae
Colaptes,Animalia,Chordata,Aves,Passeriformes,Picidae
Tyrannus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae
